areas_of_interest,consultations,detailOfTypeDoc,experience,image_url,name,profile_url,qualifications,reviews,satisfaction,specialization,totalNumOfDocs,typeOfDoc
PRP,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""MedEast Medical Center, Paragon City, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""MedEast Medical Center, Paragon City, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,35,https://staticconnect.marham.pk/assets/doctors/34503/dr-muhammad-amjad-dermatologist-lahore-70_170X170.webp,Dr. Muhammad Amjad,https://www.marham.pk/online-consultation/dermatologist/lahore/dr-muhammad-amjad-34503,"MBBS, MCPS (Dermatology), FCPS (Dermatology)",,98,Dermatologist,1319,Dermatologist
"Acne, Acne Scars, Melasma, Hairfall","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Chughtai Medical Centre, DHA Phase 4, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Centre, DHA Phase 4, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,15,https://staticconnect.marham.pk/assets/doctors/5396/dr-umer-mushtaq-dermatologist-lahore-79_170X170.webp,Dr. Umer Mushtaq,https://www.marham.pk/doctors/lahore/dermatologist/dr-umer-mushtaq,"MBBS, FCPS (Dermatology), CAAAM (USA)",,97,Dermatologist,1319,Dermatologist
"Hair Problems, Acne And Acne Scars, Thread Up Lighting Warts Removal, Aesthetic Procedures","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Deep Ocean Dermatology, Skin Laser Center, Clifton, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Deep Ocean Dermatology, Skin Laser Center, Clifton, Karachi""}, {""type"": ""Skin Laser & Cosmetology Center, Saddar, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skin Laser & Cosmetology Center, Saddar, Karachi""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,27,https://staticconnect.marham.pk/assets/doctors/9226/dr-zafar-ahmed-dermatologist-karachi-34_170X170.webp,Dr. Zafar Ahmed,https://www.marham.pk/doctors/karachi/dermatologist/dr-zafar-ahmed,"MBBS, CRCP, D.DERM (Thailand ), Diploma in Dermato-Surgery (Bangkok), Research Course (UK)",,96,Dermatologist,1319,Dermatologist
"PRP, Skin Diseases, Aesthetic Procedures, Lasers, Aesthetics","[{""type"": ""Nelson Medical Complex, Abid Majeed Road, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Nelson Medical Complex, Abid Majeed Road, Rawalpindi""}, {""type"": ""Islamabad  Aesthetic Center, F8 Markaz, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Islamabad  Aesthetic Center, F8 Markaz, Islamabad""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,30,https://staticconnect.marham.pk/assets/doctors/9990/dr-professor-brigadier-asher-ahmed-dermatologist-rawalpindi-12_170X170.webp,Dr. Professor Brigadier Asher Ahmed,https://www.marham.pk/doctors/rawalpindi/dermatologist/dr-professor-brigadier-asher-ahmed,"MBBS (Pb), Dip Derma (AFPGMI), FCPS (Derm) Clinical Fellowship in Dermatopathology (UK) MCPS (HPE)",,97,Dermatologist,1319,Dermatologist
"Laser For Hair Removal, Dermatology, Anti Aging, Skin Diseases","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Skinnovation, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skinnovation, Johar Town, Lahore""}, {""type"": ""Skinnovation (Thokar Branch), Thokar Niaz Baig, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Skinnovation (Thokar Branch), Thokar Niaz Baig, Lahore""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,12,https://staticconnect.marham.pk/assets/doctors/14765/dr-aisha-ahmad-dermatologist-lahore-9_170X170.webp,Dr. Aisha Ahmad,https://www.marham.pk/doctors/lahore/dermatologist/dr-aisha-ahmad,"MBBS, FCPS (Dermatology), Certified (Aesthetic Medicine)",,96,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Jannat Medical & Child Clinic, Liaqatpur, Rahim Yar Khan"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Jannat Medical & Child Clinic, Liaqatpur, Rahim Yar Khan""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,4,https://staticconnect.marham.pk/assets/doctors/20084/dr-mohammed-usman-rauf-general-practitioner-lahore-89_170X170.webp,Dr. Mohammed Usman Rauf,https://www.marham.pk/online-consultation/dermatologist/rahim-yar-khan/dr-mohammed-usman-rauf-20084,"MBBS, CCM, Diploma in Primary Skin Diseases",,93,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Dr Naeem Uddin Skin Clinic (k), Karachi, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Dr Naeem Uddin Skin Clinic (k), Karachi, Karachi""}, {""type"": ""Nehal Hospital, Malir, Karachi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""700"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Nehal Hospital, Malir, Karachi""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,13,https://staticconnect.marham.pk/assets/doctors/27053/dr-shamail-zia-dermatologist-karachi-76_170X170.webp,Dr. Shamail Zia,https://www.marham.pk/doctors/karachi/dermatologist/dr-shamail-zia," MBBS , MRCGP , MD , Diplomate (Dermatology) ",,96,Dermatologist,1319,Dermatologist
"Hair Problems, Laser For Acne, Nails Treatment, Other Skin Issues, Acne And Acne Scars, Skin Rejuvenation, Stretch Marks Removal","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Khan Medical City Hospital, Al Rahim Colony, Multan"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Khan Medical City Hospital, Al Rahim Colony, Multan""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,30,https://staticconnect.marham.pk/assets/doctors/8918/dr-ghulam-mujtaba-dermatologist-multan-94_170X170.webp,Dr. Ghulam Mujtaba,https://www.marham.pk/doctors/multan/dermatologist/dr-ghulam-mujtaba,"MBBS, FCPS (Dermatology)",,94,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Hair Removal, Acne","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""City Medical Complex, nishatabad, Faisalabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""City Medical Complex, nishatabad, Faisalabad""}, {""type"": ""Dia Scient medical complex, Gulistan Colony, Faisalabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Dia Scient medical complex, Gulistan Colony, Faisalabad""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,8,https://staticconnect.marham.pk/assets/doctors/31544/sadaf-mushtaq-dermatologist-faisalabad-69_170X170.webp,Dr. Sadaf Mushtaq,https://www.marham.pk/online-consultation/dermatologist/faisalabad/dr-sadaf-mushtaq-31544,"MBBS, FCPS (Dermatology)",,97,Dermatologist,1319,Dermatologist
"Hair Problems, PRP, Laser For Acne, Laser For Hair Removal, Acne, Acne Scars, Hair Fall, Melasma, Skin Problems, Other Skin Problems, Laser Hair Removal","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Kiran International Hospital, punjab, Sialkot"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Kiran International Hospital, punjab, Sialkot""}]",The specialists who treat skin problems are called dermatologists or skin specialists.,10,https://staticconnect.marham.pk/assets/doctors/8791/dr-sadia-munir-rana-dermatologist-sialkot-41_170X170.webp,Dr. Sadia Munir Rana,https://www.marham.pk/doctors/sialkot/dermatologist/dr-sadia-munir-rana,"MBBS, FCPS, Internationally Certified",,97,Dermatologist,1319,Dermatologist
